id,titulo,metragem_total_m2,area_locavel_m2,preco_locacao_m2,condominio_m2,iptu_m2_mensal,valor_total_mensal_original,pe_direito_m,endereco_completo,cidade,estado,url,custo_locacao_total_mensal,custo_acessorio_total_mensal,valor_total_mensal_final,categoria_tamanho
15,Zimba Castelo Branco  - Galpão para Alugar,1650,1650,24.5,4.75,0.7,40427.94,,"Estrada Municipal, 505 - Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-1650m2-para-locacao-aracariguama/275342,40425,8992.5,49417.5,Médio
20,Zimba Castelo Branco  - Galpão para Alugar,4984,4984,24.5,4.75,0.7,122130.05,,"Estrada Senador José Ermirio de Moraes, 505 - Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-4984m2-para-locacao-aracariguama/692641,122108,27162.8,149270.8,Médio
19,Zimba Castelo Branco  - Galpão para Alugar,3300,3300,24.5,4.75,0.7,80850,,"Estrada Senador José Ermirio de Moraes, 505, Araçariguama, SP",Araçariguama,SP,https://webindustrial.com.br/alugar/imovel/galpao-3300m2-para-locacao-aracariguama/692640,80850,17985,98835,Médio
73,CL Castelo Branco - Galpão para Alugar,6320,6320,39,4,1,246498.72,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-6320m2-para-locacao-barueri/692429,246480,31600,278080,Grande
71,CL Castelo Branco - Galpão para Alugar,24382,24382,39,4,1,950909.69,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-24382m2-para-locacao-barueri/692427,950898,121910,1072808,Grande
70,CL Castelo Branco - Galpão para Alugar,58635,58635,39,4,1,2286769,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-58635m2-para-locacao-barueri/692426,2286765,293175,2579940,Grande
72,CL Castelo Branco - Galpão para Alugar,3160,3160,39,4,1,123249.36,,"Rua Jussara, 510 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-3160m2-para-locacao-barueri/692428,123240,15800,139040,Médio
147,Fazenda Tamboré - Galpão em Condomínio para Alugar,1329.39,1329.39,34.6,9.85,0.24,46000,1200,"Av. Marginal Projetada - Fazenda Tamboré, Barueri, SP",Barueri,SP,"https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-1329,39m2-para-locacao-barueri-fazenda-tambore/1000312",45996.89,13413.55,59410.44,Médio
144,Jardim Belval - Galpão para Alugar,831,831,34.03,6.42,0.81,28279.5,6.9,Jardim Belval - Barueri/SP,Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-831m2-para-locacao-barueri/693794,28278.93,6008.13,34287.06,Pequeno
132,Urdi CBBP Barueri - Galpão para Alugar,2094,2094,36.01,3.6,0.2,75405.6,,"Avenida Prefeito João Vilallobo Quero, 2259 - Barueri, SP",Barueri,SP,https://webindustrial.com.br/alugar/imovel/galpao-2094m2-para-locacao-barueri/692450,75404.94,7957.2,83362.14,Médio
14,Betim Business Park - Galpão para Alugar,39132,39132,28,3.8,0.7,1095712.5,,"Rodovia Br-381 Fernão Dias, 499 - Betim, MG",Betim,MG,https://webindustrial.com.br/alugar/imovel/galpao-39132m2-para-locacao-betim/692248,1095696,176094,1271790,Grande
120,Centro Logístico Especulativo Cajamar - XP Log WT Cajamar - Galpão para Alugar,15049,15049,23,3.95,0.8,346127,,"Rua Sem Denominacao, 0 - Cajamar, SP",Cajamar,SP,https://webindustrial.com.br/alugar/imovel/galpao-15049m2-para-locacao-cajamar/692488,346127,71482.75,417609.75,Grande
145,Vila Planalto - Galpão para Alugar,41055,41055,28,7,0.28,1149540,1200,"Av. Ten. Marques, 1246 - Cajamar, SP",Cajamar,SP,https://webindustrial.com.br/alugar/imovel/galpao-41055m2-para-locacao-cajamar-vila-planalto/1000358,1149540,298880.4,1448420.4,Grande
10,Casa Grande - Galpão para Alugar,900,900,15,7,1.07,13500,,"Av Ferraz Alvim, 935 - Diadema, SP",Diadema,SP,https://webindustrial.com.br/alugar/imovel/galpao-900m2-para-locacao-diadema/693722,13500,7263,20763,Pequeno
142,Conceição - Galpão para Alugar,1975.58,1975.58,25.31,7,1.5,50000,,"Riachuelo, 92 - Conceição, Diadema, SP",Diadema,SP,"https://webindustrial.com.br/alugar/imovel/galpao-1975,58m2-para-locacao-diadema/693759",50001.93,16792.43,66794.36,Médio
21,Serraria Diadema - Galpão para Alugar ou Comprar,333.59,333.59,16.19,7,1.5,5400,,"Rua Ana Maria, 147, Diadema, SP",Diadema,SP,"https://webindustrial.com.br/alugar-comprar/imovel/galpao-333,59m2-para-locacao-venda-diadema/693744",5400.82,2835.51,8236.34,Pequeno
138,Vila Nogueira - Galpão para Alugar,3610.8,3610.8,26.31,7,1.5,95000,,"Avn Dona Ruyce Ferraz Alvim, 997 - Diadema, SP",Diadema,SP,"https://webindustrial.com.br/alugar/imovel/galpao-3610,8m2-para-locacao-diadema/693740",95000.15,30691.8,125691.95,Médio
139,Vila Nogueira - Galpão para Alugar,2740.82,2740.82,16.42,7,1.5,45000,,"Av Dona Ruyce Ferraz Alvim, 3036 - Diadema, SP",Diadema,SP,"https://webindustrial.com.br/alugar/imovel/galpao-2740,82m2-para-locacao-diadema/693743",45004.26,23296.97,68301.23,Médio
127,Bresco Embu - Galpão para Alugar,7629,7629,31,7,1.5,236499,,"Avenida Hélio Ossamu Daikuara, 1135 - Embu das Artes, SP",Embu,SP,https://webindustrial.com.br/alugar/imovel/galpao-7629m2-para-locacao-embu-das-artes/692710,236499,64846.5,301345.5,Grande
12,CLE - Centro Logístico Embu - Galpão para Alugar,2956,2956,24,4.62,0.89,70956,,"Rua José Semião Rodrigues Agostinho, 1370 - Embu das Artes, SP",Embu,SP,https://webindustrial.com.br/alugar/imovel/galpao-2956m2-para-locacao-embu-das-artes/692417,70944,16287.56,87231.56,Médio
7,Cy.log Embu - Galpão para Alugar,39029,39029,26.5,3.8,1.5,1034268.5,,"Estrada Maria Imaculada, 0 - Embu das Artes, SP",Embu,SP,https://webindustrial.com.br/alugar/imovel/galpao-39029m2-para-locacao-embu-das-artes/297548,1034268.5,206853.7,1241122.2,Grande
102,GLP Embu I - Galpão para Alugar,60204,60204,36,7,1.15,2167351.5,,"Avenida Isaltino Victor de Moraes, 437 - Embu das Artes, SP",Embu,SP,https://webindustrial.com.br/alugar/imovel/galpao-60204m2-para-locacao-embu-das-artes/692673,2167344,490662.6,2658006.6,Grande
131,CLE - Centro Logístico Embu - Galpão para Alugar,5670,5670,30,5.5,1,170109.59,,"Rua José Semião Rodrigues Agostinho, 1210 - Embu das Artes, SP",Embu das Artes,SP,https://webindustrial.com.br/alugar/imovel/galpao-5670m2-para-locacao-embu-das-artes/692419,170100,36855,206955,Grande
130,CLE - Centro Logístico Embu 3 - Galpão para Alugar,19058,19058,30,5.5,1,571768.81,,"Rua José Semião Rodrigues Agostinho, 1210 - Embu das Artes, SP",Embu das Artes,SP,https://webindustrial.com.br/alugar/imovel/galpao-19058m2-para-locacao-embu-das-artes/692418,571740,123877,695617,Grande
8,Extrema Business Park - Galpão para Alugar,23097,23097,34,3.96,1.5,785313.31,,"Rodovia Fernão Dias, 2150 - Extrema, MG",Extrema,MG,https://webindustrial.com.br/alugar/imovel/galpao-23097m2-para-locacao-extrema/604596,785298,126109.62,911407.62,Grande
129,Infinity Business Park - Galpão para Alugar,37550,37550,32,3.92,1.5,1201623.38,,"Rodovia Fernão Dias, 0 - Extrema, MG",Extrema,MG,https://webindustrial.com.br/alugar/imovel/galpao-37550m2-para-locacao-extrema/692250,1201600,203521,1405121,Grande
1,Cajamar - Galpão em Condomínio para Alugar,19591,19591,30,3,0.75,587730,1200,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-19591m2-para-locacao-franco-da-rocha-cajamar/692057,587730,73466.25,661196.25,Grande
44,GLP Bandeirantes I - Galpão para Alugar,22539,22539,32,3.15,0.75,721249.94,,"Rodovia Edgar Máximo Zamboto, 42, Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-22539m2-para-locacao-franco-da-rocha/692666,721248,87902.1,809150.1,Grande
42,GLP Bandeirantes I - Galpão para Alugar,39683,39683,32,3.15,0.75,1269863.38,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-39683m2-para-locacao-franco-da-rocha/692664,1269856,154763.7,1424619.7,Grande
43,GLP Bandeirantes I - Galpão para Alugar,11269,11269,32,3.15,0.75,360624.97,,"Rodovia Edgar Máximo Zamboto, 42, Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-11269m2-para-locacao-franco-da-rocha/692665,360608,43949.1,404557.1,Grande
40,GLP Bandeirantes I - Galpão para Alugar,20105,20105,32,3.15,0.75,643381.75,,"Rodovia Edgar Máximo Zamboto, 42, Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-20105m2-para-locacao-franco-da-rocha/692662,643360,78409.5,721769.5,Grande
39,GLP Bandeirantes I - Galpão para Alugar,9524,9524,32,3.15,0.75,304790.72,,"Rodovia Edgar Máximo Zamboto, 42, Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-9524m2-para-locacao-franco-da-rocha/692661,304768,37143.6,341911.6,Grande
74,GLP Bandeirantes I - Galpão para Alugar,86357,86357,32,3.15,0.75,2763444.75,,"Rodovia Edgar Máximo Zamboto, 42 - Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-86357m2-para-locacao-franco-da-rocha/692667,2763424,336792.3,3100216.3,Grande
41,GLP Bandeirantes I - Galpão para Alugar,30158,30158,32,3.15,0.75,965072.62,,"Rodovia Edgar Máximo Zamboto, 42, Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-30158m2-para-locacao-franco-da-rocha/692663,965056,117616.2,1082672.2,Grande
149,Roseira - Galpão para Alugar,93000,93000,29,3.6,0.8,2697000,,"Estrada da Roseira, 0 - Franco da Rocha, SP",Franco da Rocha,SP,https://webindustrial.com.br/alugar/imovel/galpao-93000m2-para-locacao-franco-da-rocha/1000615,2697000,409200,3106200,Grande
4,Bonsucesso Logistics Park - Galpão em Condomínio para Alugar,2839,2839,38,3.66,1.73,0,1200,"Edifício Bonsucesso Logistics Park, Vila Nova Bonsucesso",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-2839m2-para-locacao-guarulhos/265206,107882,15302.21,123184.21,Médio
17,CL - Centro Logístico Aeroporto - Galpão para Alugar,5178,5178,42,5.11,3.5,217494.48,,"Rua Jamil João Zarif, 684 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-5178m2-para-locacao-guarulhos/692411,217476,44582.58,262058.58,Grande
16,CL - Centro Logístico Aeroporto - Galpão para Alugar,10356,10356,42,5.11,3.5,434988.97,,"Rua Jamil João Zarif, 684 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-10356m2-para-locacao-guarulhos/692410,434952,89165.16,524117.16,Grande
18,CL - Centro Logístico Aeroporto - Galpão para Alugar,2589,2589,42,5.11,3.5,108747.24,,"Ruam Jamil João Zarif, 684 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-2589m2-para-locacao-guarulhos/692412,108738,22291.29,131029.29,Médio
25,CL Guarulhos 2 - Galpão para Alugar,2198,2198,34.01,5,1.93,74751.04,,"Rua da Lagoa, 511 - Vila Guarani, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-2198m2-para-locacao-guarulhos/692416,74753.98,15232.14,89986.12,Médio
23,CL Guarulhos 2 - Galpão para Alugar,6595,6595,34,5,1.93,224253.12,,"Rua da Lagoa, 511 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-6595m2-para-locacao-guarulhos/692414,224230,45703.35,269933.35,Grande
24,CL Guarulhos 2 - Galpão para Alugar,19787,19787,34,5,1.93,672759.38,,"Rua da Lagoa, 511 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-19787m2-para-locacao-guarulhos/692415,672758,137123.91,809881.91,Grande
134,GLP Dutra I - Galpão para Alugar,9668,9668,36,7,1.3,348060.25,,"Rodovia Presidente Dutra, 0 - Vila Galvão, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-9668m2-para-locacao-guarulhos/692677,348048,80244.4,428292.4,Grande
133,GLP Dutra I - Galpão para Alugar,48422,48422,36,7,1.3,1743203.88,,"Rodovia Presidente Dutra, 0 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-48422m2-para-locacao-guarulhos/692676,1743192,401902.6,2145094.6,Grande
135,GLP Dutra I - Galpão para Alugar,58090,58090,36,7,1.3,2091264.12,,"Rodovia Presidente Dutra, 0 - Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-58090m2-para-locacao-guarulhos/692678,2091240,482147,2573387,Grande
103,GLP Guarulhos - Galpão para Alugar,6404,6404,46,3,1.3,294599.19,,"Avenida Júlia Gaiolli, 740 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-6404m2-para-locacao-guarulhos/692674,294584,27537.2,322121.2,Grande
122,GLP Guarulhos III - Galpão para Alugar,106499,106499,43,3.55,1.5,4579474.5,,"Rodovia Presidente Dutra, 0, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-106499m2-para-locacao-guarulhos/692656,4579457,537819.95,5117276.95,Grande
123,GLP Guarulhos III - Galpão para Alugar,108123,108123,43,3.55,1.5,4649307.5,,"Rodovia Presidente Dutra, 218 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-108123m2-para-locacao-guarulhos/692657,4649289,546021.15,5195310.15,Grande
124,GLP Guarulhos III - Galpão para Alugar,30533,30533,43,3.55,1.5,1312929.75,,"Rodovia Presidente Dutra, 218 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-30533m2-para-locacao-guarulhos/692658,1312919,154191.65,1467110.65,Grande
126,GLP Guarulhos III - Galpão para Alugar,245156,245156,43,3.55,1.5,10541712,,"Rodovia Presidente Dutra, 218, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-245156m2-para-locacao-guarulhos/692660,10541708,1238037.8,11779745.8,Grande
125,GLP Guarulhos III - Galpão para Alugar,214622,214622,43,3.55,1.5,9228782,,"Rodovia Presidente Dutra, 218 - Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-214622m2-para-locacao-guarulhos/692659,9228746,1083841.1,10312587.1,Grande
66,Guarulhos Business Park - Galpão para Alugar,53322,53322,36,3.88,1.5,1919600.62,,"Estrada Municipal, 253 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-53322m2-para-locacao-guarulhos/604598,1919592,286872.36,2206464.36,Grande
48,LOG Guarulhos Gaiolli - Galpão para Alugar,6752,6752,30,4.74,1.48,202567.2,,"Avenida Amâncio Gaioli, 426 - Vila Gaiolli, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-6752m2-para-locacao-guarulhos/692378,202560,41997.44,244557.44,Grande
47,LOG Guarulhos Gaiolli - Galpão para Alugar,4771,4771,30,4.74,1.48,143136.59,,"Avenida Amêncio Gaioli, 426 - Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-4771m2-para-locacao-guarulhos/692377,143130,29675.62,172805.62,Médio
45,LOG Guarulhos Gaiolli - Galpão para Alugar,11523,11523,30,4.74,1.48,345703.81,,"Avenida Amâncio Gaioli, 426 - Vila Gaiolli, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-11523m2-para-locacao-guarulhos/692267,345690,71673.06,417363.06,Grande
46,LOG Guarulhos Gaiolli - Galpão para Alugar,2212,2212,30.01,4.74,1.48,66371.1,,"Avenida Amâncio Gaioli, 426 - Vila Gaiolli, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-2212m2-para-locacao-guarulhos/692376,66382.12,13758.64,80140.76,Médio
29,Nm KSM LOG Guarulhos I - Galpão para Alugar,8314,8314,35,3,1,290999.81,,"Avenida Paschoal Thomeu, 2545 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-8314m2-para-locacao-guarulhos/692498,290990,33256,324246,Grande
33,Nm KSM LOG Guarulhos I - Galpão para Alugar,24942,24942,35,3,1,872999.38,,"Avenida Paschoal Thomeu, 2545, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-24942m2-para-locacao-guarulhos/692502,872970,99768,972738,Grande
31,Nm KSM LOG Guarulhos I - Galpão para Alugar,16628,16628,35,3,1,581999.62,,"Avenida Paschoal Thomeu, 2545 - Vila Guarani, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-16628m2-para-locacao-guarulhos/692500,581980,66512,648492,Grande
35,Nm KSM LOG Guarulhos I - Galpão para Alugar,62854,62854,35,3,1,2199890,,"Avenida Paschoal Thomeu, 2545 - Vila Guarani, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-62854m2-para-locacao-guarulhos/692504,2199890,251416,2451306,Grande
28,Nm KSM LOG Guarulhos I - Galpão para Alugar,3049,3049,35,3,1,106715,,"Avenida Paschoal Thomeu, 2545 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-3049m2-para-locacao-guarulhos/692497,106715,12196,118911,Médio
32,Nm KSM LOG Guarulhos I - Galpão para Alugar,20785,20785,35,3,1,727499.5,,"Avenida Paschoal Thomeu, 2545 - Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-20785m2-para-locacao-guarulhos/692501,727475,83140,810615,Grande
34,Nm KSM LOG Guarulhos I - Galpão para Alugar,30000,30000,35,3,1,1050000,,"Avenida Paschoal Thomeu, 2545 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-30000m2-para-locacao-guarulhos/692503,1050000,120000,1170000,Grande
30,Nm KSM LOG Guarulhos I - Galpão para Alugar,12471,12471,35,3,1,436499.69,,"Avenida Paschoal Thomeu, 2545 - Vila Nova Bonsucesso, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-12471m2-para-locacao-guarulhos/692499,436485,49884,486369,Grande
148,Água Chata - Galpão em Condomínio para Alugar,5282,5282,36,7,1.4,190152,,"Viela Dinamarca, 12 - Vila Chata, Guarulhos, SP",Guarulhos,SP,https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-5282m2-para-locacao-guarulhos/692051,190152,44368.8,234520.8,Grande
92,LOG Hortolândia - Galpão para Alugar,4110,4110,23,4.57,0.69,94550.47,,"Rua Pérola, 200 - Hortolândia, SP",Hortolândia,SP,https://webindustrial.com.br/alugar/imovel/galpao-4110m2-para-locacao-hortolandia/692347,94530,21618.6,116148.6,Médio
91,LOG Hortolândia - Galpão para Alugar,4079,4079,23,4.57,0.69,93820.45,,"Rua Pérola, 200 - Hortolândia, SP",Hortolândia,SP,https://webindustrial.com.br/alugar/imovel/galpao-4079m2-para-locacao-hortolandia/692268,93817,21455.54,115272.54,Médio
6,Distrito Industrial Domingos Giomi - Galpão em Condomínio para Alugar ou Comprar,5740,5740,18,7,1.5,103320,600,"Rua Dalísio Silveira Barros, 1 - Indaiatuba, SP",Indaiatuba,SP,https://webindustrial.com.br/alugar-comprar/imovel/galpao-em-condominio-5740m2-para-locacao-venda-indaiatuba/692048,103320,48790,152110,Grande
101,GLP Régis - Galpão para Alugar,31912,31912,24,5.1,1.15,765894.5,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra, SP",Itapecerica da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-31912m2-para-locacao-itapecerica-da-serra/692672,765888,199450,965338,Grande
97,GLP Régis - Galpão para Alugar,6804,6804,24,5.1,1.15,163319.28,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra, SP",Itapecerica da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-6804m2-para-locacao-itapecerica-da-serra/692668,163296,42525,205821,Grande
99,GLP Régis - Galpão para Alugar,16738,16738,24,5.1,1.15,401716.81,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra, SP",Itapecerica da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-16738m2-para-locacao-itapecerica-da-serra/692670,401712,104612.5,506324.5,Grande
100,GLP Régis - Galpão para Alugar,25107,25107,24,5.1,1.15,602575.19,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra, SP",Itapecerica da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-25107m2-para-locacao-itapecerica-da-serra/692671,602568,156918.75,759486.75,Grande
98,GLP Régis - Galpão para Alugar,8369,8369,24,5.1,1.15,200858.41,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra, SP",Itapecerica da Serra,SP,https://webindustrial.com.br/alugar/imovel/galpao-8369m2-para-locacao-itapecerica-da-serra/692669,200856,52306.25,253162.25,Grande
27,CLI - Centro Logístico Itapevi - Galpão para Alugar,3322,3322,30,5.86,0.33,99673.5,,"Rodovia Coronel PM Nelson Tranchesi, 1730 - Itapevi, SP",Itapevi,SP,https://webindustrial.com.br/alugar/imovel/galpao-3322m2-para-locacao-itapevi/692431,99660,20563.18,120223.18,Médio
26,CLI - Centro Logístico Itapevi - Galpão para Alugar,5690,5690,30,5.86,0.33,170707.2,,"Rodovia Coronel PM Nelson Tranchesi, 1730 - Itapevi, SP",Itapevi,SP,https://webindustrial.com.br/alugar/imovel/galpao-5690m2-para-locacao-itapevi/692430,170700,35221.1,205921.1,Grande
