id,titulo,preco,condominio,metragem,url,area_locavel,iptu,valor_total_mensal,pe_direito,endereco_completo
75,GLP Taboão - Galpão para Alugar,36.0,3.9,"10.976,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-10976m2-para-locacao-taboao-da-serra/692679,10976.0,1.0,395163.38,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
76,GLP Taboão - Galpão para Alugar,36.0,3.9,"21.953,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-21953m2-para-locacao-taboao-da-serra/692680,21953.0,1.0,790326.75,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
77,GLP Taboão - Galpão para Alugar,36.0,3.9,"32.930,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-32930m2-para-locacao-taboao-da-serra/692681,32930.0,1.0,1185490.12,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
78,GLP Taboão - Galpão para Alugar,36.0,3.9,"43.435,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-43435m2-para-locacao-taboao-da-serra/692682,43435.0,1.0,1563685.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
79,GLP Taboão - Galpão para Alugar,36.0,3.9,"12.812,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-12812m2-para-locacao-taboao-da-serra/692683,12812.0,1.0,461244.97,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
80,GLP Taboão - Galpão para Alugar,36.0,3.9,"9.682,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9682m2-para-locacao-taboao-da-serra/692684,9682.0,1.0,348573.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
81,GLP Taboão - Galpão para Alugar,36.0,3.9,"18.891,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-18891m2-para-locacao-taboao-da-serra/692685,18891.0,1.0,680094.0,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
82,GLP Taboão - Galpão para Alugar,36.0,3.9,"31.940,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-31940m2-para-locacao-taboao-da-serra/692686,31940.0,1.0,1149865.25,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
83,GLP Taboão - Galpão para Alugar,36.0,3.9,"8.278,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8278m2-para-locacao-taboao-da-serra/692687,8278.0,1.0,298037.53,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
84,GLP Taboão - Galpão para Alugar,36.0,3.9,"7.438,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-7438m2-para-locacao-taboao-da-serra/692688,7438.0,1.0,267803.28,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
85,GLP Taboão - Galpão para Alugar,36.0,3.9,"14.877,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-14877m2-para-locacao-taboao-da-serra/692689,14877.0,1.0,535606.56,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
86,GLP Taboão - Galpão para Alugar,36.0,3.9,"4.890,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4890m2-para-locacao-taboao-da-serra/692690,4890.0,,176044.31,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
87,GLP Taboão - Galpão para Alugar,36.0,3.9,"9.780,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9780m2-para-locacao-taboao-da-serra/692691,9780.0,1.0,352088.62,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
88,GLP Taboão - Galpão para Alugar,82.85,3.9,"29.312,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-29312m2-para-locacao-taboao-da-serra/692692,29312.0,1.0,2428401.5,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
89,GLP Taboão - Galpão para Alugar,36.01,3.9,"3.229,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3229m2-para-locacao-taboao-da-serra/692693,3229.0,1.0,116269.2,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
90,GLP Taboão - Galpão para Alugar,36.0,3.9,"6.695,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6695m2-para-locacao-taboao-da-serra/692694,6695.0,1.0,241043.05,,"Avenida Marechal Castelo Branco, 565 - Taboão da Serra"
91,LOG Hortolândia - Galpão para Alugar,23.0,4.57,"4.079,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4079m2-para-locacao-hortolandia/692268,4079.0,0.69,93820.45,,"Rua Pérola, 200 - Hortolândia"
92,LOG Hortolândia - Galpão para Alugar,23.0,4.57,"4.110,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4110m2-para-locacao-hortolandia/692347,4110.0,0.69,94550.47,,"Rua Pérola, 200 - Hortolândia"
93,CL SP Dutra - Centro Logístico Dutra - Galpão para Alugar,42.0,3.87,"18.822,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-18822m2-para-locacao-sao-paulo/692413,18822.0,1.1,790549.19,,"Rua Cabo Norberto Enrique Weber, 222 - São Paulo"
94,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"29.475,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-29475m2-para-locacao-sao-bernardo-do-campo/692423,29475.0,3.0,1002180.62,,"Avenida Montemor, 513 - São Bernardo do Campo"
95,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"34.430,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-34430m2-para-locacao-sao-bernardo-do-campo/692424,34430.0,3.0,1170643.75,,"Avenida Montemor, 513 - São Bernardo do Campo"
96,CL Imigrantes 4 - Galpão para Alugar,34.0,5.0,"63.906,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-63906m2-para-locacao-sao-bernardo-do-campo/692425,63906.0,3.0,2172823.5,,"Avenida Montemor, 513 - São Bernardo do Campo"
97,GLP Régis - Galpão para Alugar,24.0,5.1,"6.804,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6804m2-para-locacao-itapecerica-da-serra/692668,6804.0,1.15,163319.28,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
98,GLP Régis - Galpão para Alugar,24.0,5.1,"8.369,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-8369m2-para-locacao-itapecerica-da-serra/692669,8369.0,1.15,200858.41,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
99,GLP Régis - Galpão para Alugar,24.0,5.1,"16.738,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-16738m2-para-locacao-itapecerica-da-serra/692670,16738.0,1.15,401716.81,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
100,GLP Régis - Galpão para Alugar,24.0,5.1,"25.107,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-25107m2-para-locacao-itapecerica-da-serra/692671,25107.0,1.15,602575.19,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
101,GLP Régis - Galpão para Alugar,24.0,5.1,"31.912,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-31912m2-para-locacao-itapecerica-da-serra/692672,31912.0,1.15,765894.5,,"Rodovia Régis Bittencourt, 296 - Itapecerica da Serra"
102,GLP Embu I - Galpão para Alugar,36.0,,"60.204,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-60204m2-para-locacao-embu-das-artes/692673,60204.0,1.15,2167351.5,,"Avenida Isaltino Victor de Moraes, 437 - Embu das Artes"
103,GLP Guarulhos - Galpão para Alugar,46.0,3.0,"6.404,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6404m2-para-locacao-guarulhos/692674,6404.0,1.3,294599.19,,"Avenida Júlia Gaiolli, 740 - Guarulhos"
104,LOG Ribeirão Preto - Galpão para Alugar,26.0,4.05,"12.800,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-12800m2-para-locacao-ribeirao-preto/692269,12800.0,0.6,332804.16,,"Via Anhangüera, 313 - Ribeirão Preto"
105,LOG Ribeirão Preto - Galpão para Alugar,26.0,4.05,"2.133,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2133m2-para-locacao-ribeirao-preto/692379,2133.0,0.6,55467.36,,"Via Anhangüera, 313 - Ribeirão Preto"
106,LOG Ribeirão Preto - Galpão para Alugar,26.0,4.05,"4.266,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4266m2-para-locacao-ribeirao-preto/692380,4266.0,0.6,110934.72,,"Via Anhangüera, 313 - Ribeirão Preto"
107,LOG Ribeirão Preto - Galpão para Alugar,26.0,4.05,"6.400,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6400m2-para-locacao-ribeirao-preto/692381,6400.0,0.6,166402.08,,"Via Anhangüera, 313 - Ribeirão Preto"
108,CL Imigrantes 3 - Galpão para Alugar,34.0,5.0,"13.021,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-13021m2-para-locacao-sao-bernardo-do-campo/692420,13021.0,3.0,442741.19,,"Estrada Marco Polo, 4646 - São Bernardo do Campo"
109,CL Imigrantes 3 - Galpão para Alugar,34.0,5.0,"30.394,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-30394m2-para-locacao-sao-bernardo-do-campo/692421,30394.0,3.0,1033426.62,,"Estrada Marco Polo, 4646 - São Bernardo do Campo"
110,CL Imigrantes 3 - Galpão para Alugar,34.0,5.0,"43.416,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-43416m2-para-locacao-sao-bernardo-do-campo/692422,43416.0,3.0,1476168.12,,"Estrada Marco Polo, 4646 - São Bernardo do Campo"
111,Mbigucci Business Park Santo André - Galpão para Alugar,35.0,3.75,"1.192,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1192m2-para-locacao-santo-andre/692471,1192.0,5.5,41720.0,,"Rua Ângelo Franchini, 299 - Santo André"
112,Mbigucci Business Park Santo André - Galpão para Alugar,35.0,3.75,"2.384,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2384m2-para-locacao-santo-andre/692472,2384.0,5.5,83440.0,,"Rua Ângelo Franchini, 299 - Santo André"
113,Mbigucci Business Park Santo André - Galpão para Alugar,35.0,3.75,"3.576,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-3576m2-para-locacao-santo-andre/692473,3576.0,5.5,125160.0,,"Rua Ângelo Franchini, 299 - Santo André"
114,Mbigucci Business Park Santo André - Galpão para Alugar,35.01,3.75,"2.186,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2186m2-para-locacao-santo-andre/692474,2186.0,5.5,76521.2,,"Rua Ângelo Franchini, 299 - Santo André"
115,Mbigucci Business Park Santo André - Galpão para Alugar,35.01,3.75,"6.558,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-6558m2-para-locacao-santo-andre/692475,6558.0,5.5,229563.59,,"Rua Ângelo Franchini, 299 - Santo André"
116,Goodman Jaguaré - Galpão para Alugar,45.0,,"7.027,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-7027m2-para-locacao-sao-paulo/692477,7027.0,,316226.69,,"Avenida Engenheiro Billings, 2227 - São Paulo"
117,Goodman Jaguaré - Galpão para Alugar,45.0,,"14.964,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-14964m2-para-locacao-sao-paulo/692478,14964.0,,673386.75,,"Avenida Engenheiro Billings, 2227 - São Paulo"
118,Santana Business Park - Galpão para Alugar,26.01,4.4,"2.923,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2923m2-para-locacao-santana-de-parnaiba/692486,2923.0,0.65,76018.28,,"Estrada Tenente Marques, 1818 - Santana de Parnaíba"
119,Santana Business Park - Galpão para Alugar,26.0,4.4,"4.385,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4385m2-para-locacao-santana-de-parnaiba/692487,4385.0,0.65,114027.42,,"Estrada Tenente Marques, 1818 - Santana de Parnaíba"
120,Centro Logístico Especulativo Cajamar - XP Log WT Cajamar - Galpão para Alugar,23.0,3.95,"15.049,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-15049m2-para-locacao-cajamar/692488,15049.0,0.8,346127.0,,"Rua Sem Denominacao, 0 - Cajamar"
121,Mbigucci Business Park Santo André - Galpão para Alugar,35.01,3.75,"4.372,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-4372m2-para-locacao-santo-andre/692699,4372.0,5.5,153042.41,,"Rua Ângelo Franchini, 299 - Santo André"
122,GLP Guarulhos III - Galpão para Alugar,43.0,3.55,"106.499,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-106499m2-para-locacao-guarulhos/692656,106499.0,,4579474.5,,"Rodovia Presidente Dutra, 0 - Guarulhos"
123,GLP Guarulhos III - Galpão para Alugar,43.0,3.55,"108.123,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-108123m2-para-locacao-guarulhos/692657,108123.0,,4649307.5,,"Rodovia Presidente Dutra, 218 - Guarulhos"
124,GLP Guarulhos III - Galpão para Alugar,43.0,3.55,"30.533,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-30533m2-para-locacao-guarulhos/692658,30533.0,,1312929.75,,"Rodovia Presidente Dutra, 218 - Guarulhos"
125,GLP Guarulhos III - Galpão para Alugar,43.0,3.55,"214.622,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-214622m2-para-locacao-guarulhos/692659,214622.0,,9228782.0,,"Rodovia Presidente Dutra, 218 - Guarulhos"
126,GLP Guarulhos III - Galpão para Alugar,43.0,3.55,"245.156,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-245156m2-para-locacao-guarulhos/692660,245156.0,,10541712.0,,"Rodovia Presidente Dutra, 218 - Guarulhos"
127,Bresco Embu - Galpão para Alugar,31.0,,"7.629,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-7629m2-para-locacao-embu-das-artes/692710,7629.0,,236499.0,,"Avenida Hélio Ossamu Daikuara, 1135 - Embu das Artes"
128,Itaqui - Galpão para Alugar,27.0,5.66,"1.563,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-1563m2-para-locacao-itapevi/1000699,1563.0,0.33,42203.43,,Detalhes da Oferta
129,Infinity Business Park - Galpão para Alugar,32.0,3.92,"37.550,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-37550m2-para-locacao-extrema/692250,37550.0,,1201623.38,,"Rodovia Fernão Dias, 0 - Extrema"
130,CLE - Centro Logístico Embu 3 - Galpão para Alugar,30.0,5.5,"19.058,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-19058m2-para-locacao-embu-das-artes/692418,19058.0,1.0,571768.81,,"Rua José Semião Rodrigues Agostinho, 1210 - Embu das Artes"
131,CLE - Centro Logístico Embu - Galpão para Alugar,30.0,5.5,"5.670,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-5670m2-para-locacao-embu-das-artes/692419,5670.0,1.0,170109.59,,"Rua José Semião Rodrigues Agostinho, 1210 - Embu das Artes"
132,Urdi CBBP Barueri - Galpão para Alugar,36.01,3.6,"2.094,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2094m2-para-locacao-barueri/692450,2094.0,0.2,75405.6,,"Avenida Prefeito João Vilallobo Quero, 2259 - Barueri"
133,GLP Dutra I - Galpão para Alugar,36.0,,"48.422,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-48422m2-para-locacao-guarulhos/692676,48422.0,1.3,1743203.88,,"Rodovia Presidente Dutra, 0 - Guarulhos"
134,GLP Dutra I - Galpão para Alugar,36.0,,"9.668,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-9668m2-para-locacao-guarulhos/692677,9668.0,1.3,348060.25,,"Rodovia Presidente Dutra, 0 - Guarulhos"
135,GLP Dutra I - Galpão para Alugar,36.0,,"58.090,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-58090m2-para-locacao-guarulhos/692678,58090.0,1.3,2091264.12,,"Rodovia Presidente Dutra, 0 - Guarulhos"
136,Tamboré - Galpão para Alugar,43.75,,"800,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-800m2-para-locacao-barueri/693793,800.0,0.48,35000.0,,Detalhes da Oferta
137,Parque Industrial San José - Galpão em Condomínio para Alugar,28.0,1.19,"1.250,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-1250m2-para-locacao-sao-paulo-parque-industrial-san-jose/1000593,1250.0,1.16,35000.0,1200.0,"Rua Santa Clara, 515, 541 - São Paulo"
138,Vila Nogueira - Galpão para Alugar,26.31,,"3.610,80 m²","https://webindustrial.com.br/alugar/imovel/galpao-3610,8m2-para-locacao-diadema/693740",3610.8,,95000.0,,"Avn Dona Ruyce Ferraz Alvim, 997 - Diadema"
139,Vila Nogueira - Galpão para Alugar,16.42,,"2.740,82 m²","https://webindustrial.com.br/alugar/imovel/galpao-2740,82m2-para-locacao-diadema/693743",2740.82,,45000.0,,"Av Dona Ruyce Ferraz Alvim, 3036 - Diadema"
140,Jardim Miriam - Galpão para Alugar,26.53,,"245,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-245m2-para-locacao-sao-paulo/693747,245.0,,6500.0,,"Rua Giuseppe Boschi, 244 - São Paulo"
141,Vila Alves Dias - Galpão para Alugar,23055.78,,"3.252,98 m²","https://webindustrial.com.br/alugar/imovel/galpao-3252,98m2-para-locacao-sao-bernardo-do-campo/693757",3252.98,,75000000.0,,"Estrada Samuel Aizemberg, 1150 - São Bernardo do Campo"
142,Conceição - Galpão para Alugar,25.31,,"1.975,58 m²","https://webindustrial.com.br/alugar/imovel/galpao-1975,58m2-para-locacao-diadema/693759",1975.58,,50000.0,,"Rua Riachuelo,, 92 - Diadema"
143,Jardim Regina Alice - Galpão para Alugar,26.0,,"2.000,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2000m2-para-locacao-barueri/1000697,2000.0,1.52,52000.0,,Detalhes da Oferta
144,Jardim Belval - Galpão para Alugar,34.03,6.42,"831,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-831m2-para-locacao-barueri/693794,831.0,0.81,28279.5,,Detalhes da Oferta
145,Vila Planalto - Galpão para Alugar,28.0,,"41.055,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-41055m2-para-locacao-cajamar-vila-planalto/1000358,41055.0,0.28,1149540.0,1200.0,"Av. Ten. Marques, 1246 - Cajamar"
146,Presidente Altino - Galpão para Alugar,43.0,1.5,"2.164,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2164m2-para-locacao-osasco/690791,2164.0,4.9,93052.0,,Detalhes da Oferta
147,Fazenda Tamboré - Galpão em Condomínio para Alugar,34.6,9.85,"1.329,39 m²","https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-1329,39m2-para-locacao-barueri-fazenda-tambore/1000312",1329.39,0.24,46000.0,1200.0,"Av. Marginal Projetada - Fazenda Tamboré, - Barueri"
148,Água Chata - Galpão em Condomínio para Alugar,36.0,,"5.282,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-5282m2-para-locacao-guarulhos/692051,5282.0,1.4,190152.0,,"Viela Dinamarca, 12 - Guarulhos"
149,Roseira - Galpão para Alugar,29.0,3.6,"93.000,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-93000m2-para-locacao-franco-da-rocha/1000615,93000.0,0.8,2697000.0,,"Estrada da Roseira, 0 - Franco da Rocha"
150,Presidente Altino - Galpão para Alugar,24.38,,"2.830,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-2830m2-para-locacao-osasco/693720,2830.0,1.4,69000.0,,"Armindo Hanne, 105 - Osasco"
151,Vila Maria - Galpão em Condomínio para Alugar,45.0,,"8.615,00 m²",https://webindustrial.com.br/alugar/imovel/galpao-em-condominio-8615m2-para-locacao-sao-paulo/692045,8615.0,3.84,387675.0,690.0,Detalhes da Oferta
